kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gemm_fp32.1.sm_80.ptx 1179 : 131072 655680 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1178 : 131072 2808992 0 0 0 65536 4096 0 0 
gemm_fp32.1.sm_80.ptx 1177 : 131072 795328 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1176 : 131072 791936 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1175 : 131072 791584 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1174 : 131072 793792 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1173 : 131072 1179840 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1172 : 131072 1179840 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1171 : 131072 1181056 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1170 : 131072 1185824 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1169 : 131072 93902432 2097152 0 0 65536 4096 0 0 
gemm_fp32.1.sm_80.ptx 1168 : 131072 2910592 0 0 0 65536 4096 0 0 
gemm_fp32.1.sm_80.ptx 1167 : 131072 793696 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1166 : 131072 791392 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1165 : 131072 791392 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1164 : 131072 792864 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1163 : 131072 1179776 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1162 : 131072 1179904 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1161 : 131072 1180992 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1160 : 131072 1185920 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1159 : 131072 98768864 2097152 0 0 65536 4096 0 0 
gemm_fp32.1.sm_80.ptx 1158 : 131072 2945248 0 0 0 65536 4096 0 0 
gemm_fp32.1.sm_80.ptx 1157 : 131072 794272 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1156 : 131072 791328 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1155 : 131072 792256 0 0 0 0 0 0 0 
gemm_fp32.1.sm_80.ptx 1154 : 131072 792352 0 0 0 0 0 0 0 
