kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gemm_relu.1.sm_80.ptx 1435 : 131072 655712 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1434 : 131072 2867808 0 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1433 : 131072 789568 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1432 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1431 : 131072 786560 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1430 : 131072 786496 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1429 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1428 : 131072 786592 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1427 : 131072 786656 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1426 : 131072 786688 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1425 : 131072 786592 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1424 : 131072 1179648 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1423 : 131072 790976 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1422 : 131072 1179648 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1421 : 131072 786816 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1420 : 131072 1180608 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1419 : 131072 793984 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1418 : 131072 1184992 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1417 : 131072 94914880 2097152 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1416 : 131072 2954816 0 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1415 : 131072 789664 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1414 : 131072 786496 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1413 : 131072 786464 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1412 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1411 : 131072 786464 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1410 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1409 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1408 : 131072 786560 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1407 : 131072 786624 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1406 : 131072 1179648 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1405 : 131072 792032 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1404 : 131072 1179648 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1403 : 131072 786528 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1402 : 131072 1180704 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1401 : 131072 792096 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1400 : 131072 1184896 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1399 : 131072 100834816 2097152 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1398 : 131072 2933632 0 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1397 : 131072 788832 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1396 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1395 : 131072 786464 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1394 : 131072 786496 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1393 : 131072 787104 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1392 : 131072 786496 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1391 : 131072 786528 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1390 : 131072 786528 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1389 : 131072 786528 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1388 : 131072 1179648 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1387 : 131072 791360 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1386 : 131072 1179648 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1385 : 131072 786560 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1384 : 131072 1180352 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1383 : 131072 790624 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1382 : 131072 1185376 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1381 : 131072 105097312 2097152 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1380 : 131072 2970624 0 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1379 : 131072 789152 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1378 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1377 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1376 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1375 : 131072 786496 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1374 : 131072 786496 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1373 : 131072 786496 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1372 : 131072 786560 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1371 : 131072 786560 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1370 : 131072 1179648 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1369 : 131072 790464 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1368 : 131072 1179648 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1367 : 131072 786560 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1366 : 131072 1180704 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1365 : 131072 790560 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1364 : 131072 1185056 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1363 : 131072 107965600 2097152 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1362 : 131072 2996096 0 0 0 65536 4096 0 0 
gemm_relu.1.sm_80.ptx 1361 : 131072 789216 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1360 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1359 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1358 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1357 : 131072 786432 0 0 0 0 0 0 0 
gemm_relu.1.sm_80.ptx 1356 : 131072 786496 0 0 0 0 0 0 0 
