kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
softmax.1.sm_52.ptx 181 : 1024 5120 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 180 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 179 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 176 : 32 768 0 32 32 0 0 0 0 
softmax.1.sm_52.ptx 175 : 32 288 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 174 : 32 160 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 173 : 32 192 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 172 : 32 288 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 169 : 32 160 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 168 : 1024 4960 0 0 0 0 0 0 32 
softmax.1.sm_52.ptx 167 : 1024 5120 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 166 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 163 : 32 96 0 32 32 0 0 0 0 
softmax.1.sm_52.ptx 162 : 32 288 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 161 : 32 160 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 160 : 32 192 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 159 : 32 288 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 157 : 1024 4960 0 0 0 0 0 0 32 
softmax.1.sm_52.ptx 156 : 1024 9216 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 155 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 154 : 1024 37888 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 153 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 152 : 1024 9216 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 151 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 150 : 1024 37888 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 149 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 148 : 1024 9216 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 147 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 146 : 1024 37888 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 145 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 144 : 1024 9216 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 143 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 142 : 1024 37888 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 141 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 140 : 1024 9216 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 139 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 138 : 1024 37888 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 137 : 1024 6144 0 0 0 0 0 0 0 
softmax.1.sm_52.ptx 136 : 1024 5120 0 0 0 0 0 0 0 
